Title,year,Director,Writer,imdbID,Bechdel Score,dubious,year submitted,decade,Rated,imdbVotes,imdbRating,Genre
SpaceCamp,1986,Harry Winer,"Clifford Green, Casey T. Mitchell, Patrick Bailey",91993,3,0.0,2011,1980,PG,15646,5.7,"Adventure, Family, Sci-Fi"
Babette&#39;s Feast,1987,Gabriel Axel,"Karen Blixen, Gabriel Axel",92603,3,0.0,2010,1980,G,21341,7.8,Drama
Jaws: The Revenge,1987,Joseph Sargent,"Peter Benchley, Michael De Guzman",93300,3,0.0,2016,1980,PG-13,48614,3.0,"Adventure, Horror, Thriller"
Moonstruck,1987,Norman Jewison,John Patrick Shanley,93565,3,0.0,2011,1980,PG,65105,7.1,"Comedy, Drama, Romance"
No Way Out,1987,Roger Donaldson,"Kenneth Fearing, Robert Garland",93640,1,0.0,2021,1980,R,44079,7.1,"Action, Crime, Drama"
"Last Temptation of Christ, The",1988,Martin Scorsese,"Nikos Kazantzakis, Paul Schrader",95497,2,0.0,2014,1980,R,61184,7.5,Drama
Spoorloos,1988,George Sluizer,"Tim Krabbé, George Sluizer",96163,1,0.0,2014,1980,Not Rated,41838,7.7,"Mystery, Thriller"
Twins,1988,Ivan Reitman,"William Davies, William Osborne, Timothy Harris",96320,3,0.0,2009,1980,PG,133361,6.1,"Comedy, Crime"
World Gone Wild,1988,Lee H. Katzin,Jorge Zamacona,96465,3,1.0,2013,1980,R,1040,5.0,"Action, Sci-Fi"
Blind Fury,1989,Phillip Noyce,"Ryôzô Kasahara, Charles Robert Carner",96945,1,0.0,2021,1980,R,18267,6.3,"Action, Comedy, Crime"
Leviathan,1989,George P. Cosmatos,"David Webb Peoples, Jeb Stuart",97737,3,0.0,2013,1980,R,22342,5.8,"Adventure, Horror, Mystery"
Parenthood,1989,Ron Howard,"Lowell Ganz, Babaloo Mandel, Ron Howard",98067,3,0.0,2023,1980,PG-13,53547,7.1,"Comedy, Drama"
Kindergarten Cop,1990,Ivan Reitman,"Murray Salem, Herschel Weingrod, Timothy Harris",99938,3,0.0,2015,1990,PG-13,158386,6.2,"Action, Comedy, Crime"
"Rescuers Down Under, The",1990,"Hendel Butoy, Mike Gabriel","Jim Cox, Karey Kirkpatrick, Byron Simpson",100477,1,0.0,2018,1990,G,45834,6.8,"Animation, Adventure, Comedy"
"Nasty Girl (Das schreckliche M&auml;dchen), The",1990,Michael Verhoeven,Michael Verhoeven,100557,3,0.0,2016,1990,PG-13,2698,7.3,"Comedy, Drama, History"
"Sheltering Sky, The",1990,Bernardo Bertolucci,"Paul Bowles, Mark Peploe, Bernardo Bertolucci",100594,0,1.0,2021,1990,R,13479,6.7,"Adventure, Drama"
Teenage Mutant Ninja Turtles,1990,Steve Barron,"Kevin Eastman, Peter Laird, Bobby Herbeck",100758,2,1.0,2014,1990,PG,102425,6.8,"Action, Adventure, Comedy"
King of Beggars,1992,Gordon Chan,"Kin Chung Chan, Gordon Chan",100963,2,0.0,2012,1990,TV-14,4072,6.8,"Action, Comedy, Drama"
Frankie and Johnny,1991,Garry Marshall,Terrence McNally,101912,1,0.0,2017,1990,R,33442,6.7,"Comedy, Drama, Romance"
"Rocketeer, The",1991,Joe Johnston,"Dave Stevens, Danny Bilson, Paul De Meo",102803,1,0.0,2013,1990,PG,60647,6.5,"Action, Adventure, Family"
Strangers in Good Company,1990,Cynthia Scott,"Gloria Demers, Cynthia Scott, David Wilson",102993,3,0.0,2013,1990,PG,1228,7.6,"Adventure, Drama"
Chopper Chicks in Zombietown,1989,Dan Hoskins,Dan Hoskins,103959,3,0.0,2014,1980,R,2057,4.1,"Comedy, Horror"
Freddie as F.R.O.7.,1992,Jon Acevski,"Jon Acevski, David Ashton, Peter Gardner",104298,1,0.0,2017,1990,PG,791,5.1,"Animation, Adventure, Comedy"
"Hand That Rocks the Cradle, The",1992,Curtis Hanson,Amanda Silver,104389,3,0.0,2021,1990,R,47778,6.7,"Drama, Mystery, Thriller"
Leaving Normal,1992,Edward Zwick,Ed Solomon,104697,3,0.0,2011,1990,R,1558,6.5,"Comedy, Drama"
Passion Fish,1992,John Sayles,John Sayles,105107,3,0.0,2011,1990,R,5956,7.3,Drama
Death Train,1993,David Jackson,David Jackson,106689,3,0.0,2010,1990,R,3875,5.2,"Action, Thriller"
Canadian Bacon,1995,Michael Moore,Michael Moore,109370,1,1.0,2011,1990,PG,17690,5.9,"Action, Comedy"
It Could Happen to You,1994,Andrew Bergman,Jane Anderson,110167,1,0.0,2017,1990,PG,42667,6.4,"Comedy, Drama, Romance"
J&#39;ai pas sommeil,1994,Claire Denis,"Jean-Pol Fargeau, Claire Denis",110171,3,0.0,2012,1990,Unrated,1335,6.9,"Drama, Mystery, Romance"
Pentathlon,1994,Bruce Malmuth,"William Stadiem, Bruce Malmuth, Gary T. McDonald",110805,0,0.0,2021,1990,R,1984,4.3,"Action, Drama, Thriller"
Copycat,1995,Jon Amiel,"Ann Biderman, David Madsen",112722,3,1.0,2011,1990,R,64038,6.6,"Drama, Mystery, Thriller"
Cutthroat Island,1995,Renny Harlin,"Michael Frost Beckner, James Gorman, Bruce A. Evans",112760,1,0.0,2023,1990,PG-13,29797,5.7,"Action, Adventure, Comedy"
La c&eacute;r&eacute;monie,1995,Claude Chabrol,"Ruth Rendell, Claude Chabrol, Caroline Eliacheff",112769,3,0.0,2021,1990,Not Rated,13232,7.5,"Crime, Drama, Thriller"
Dracula: Dead and Loving It,1995,Mel Brooks,"Mel Brooks, Rudy De Luca, Steve Haberman",112896,3,0.0,2014,1990,PG-13,44200,5.8,"Comedy, Fantasy, Horror"
